"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","FDISTOCK","INWARD","PC_GDP","A","2008",25.285011506714,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2009",37.669440207393,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2010",36.828380617791,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2011",32.503463073319,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2012",38.201321502396,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2013",38.423423788599,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2014",37.409533183922,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2015",42.919685521135,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2016",43.961111216189,
"MEX","FDISTOCK","INWARD","PC_GDP","A","2017",42.655797035291,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2005",69.978422256244,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2006",75.377911966653,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2007",90.562207534078,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2008",68.294619466778,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2009",74.461305377382,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2010",69.46636908757,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2011",67.542582534611,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2012",74.867898901496,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2013",90.949378705095,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2014",159.94142606127,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2015",179.05401923454,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2016",177.93874860652,
"NLD","FDISTOCK","INWARD","PC_GDP","A","2017",201.50447066087,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2005",38.435086486189,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2006",44.906835715219,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2007",42.941537611259,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2008",33.099235020915,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2009",46.529714869676,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2010",39.134075449172,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2011",38.24761871064,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2012",40.625379180089,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2013",39.491358857502,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2014",38.130364406571,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2015",37.432367477703,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2016",37.200848919146,
"NZL","FDISTOCK","INWARD","PC_GDP","A","2017",36.933031372471,
"NOR","FDISTOCK","INWARD","PC_GDP","A","2013",36.453728358948,
